<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.09.11	0.88798	0.89249	0.86475	0.87521	500365	0	8
2011.09.18	0.88194	0.91809	0.87891	0.90478	500973	0	10
2011.09.25	0.90440	0.91423	0.89172	0.90766	478851	0	8
2011.10.02	0.90934	0.93138	0.90771	0.92691	480725	0	7
2011.10.09	0.92613	0.92709	0.89029	0.89068	432032	0	9
2011.10.16	0.89130	0.90819	0.88059	0.88190	459893	0	10
2011.10.23	0.88310	0.88769	0.85686	0.86270	441360	0	10
2011.10.30	0.86188	0.89584	0.86100	0.88433	451791	0	10
2011.11.06	0.88770	0.91484	0.88767	0.90077	410405	0	10
2011.11.13	0.89909	0.92343	0.89608	0.91590	444268	0	4
2011.11.20	0.91727	0.93294	0.91074	0.92913	388700	0	10
2011.11.27	0.92766	0.93063	0.90659	0.92070	367727	0	4
2011.12.04	0.92155	0.92951	0.91656	0.92199	350970	0	4
2011.12.11	0.92575	0.95463	0.92470	0.93597	354934	0	10
2011.12.18	0.93635	0.93993	0.92438	0.93626	320513	0	1
2011.12.25	0.93632	0.94691	0.93191	0.93822	251987	0	10
2012.01.01	0.93767	0.95779	0.93041	0.95498	337978	0	10
2012.01.08	0.95731	0.95944	0.94059	0.95209	358148	0	4
2012.01.15	0.95471	0.95723	0.93049	0.93426	346358	0	10
2012.01.22	0.93713	0.93745	0.91137	0.91219	327238	0	4
2012.01.29	0.91276	0.92492	0.91140	0.91776	346945	0	4
2012.02.05	0.91969	0.92624	0.90881	0.91636	335578	0	10
2012.02.12	0.91353	0.92995	0.91014	0.91954	317607	0	10
2012.02.19	0.91616	0.91635	0.89306	0.89587	306467	0	7
2012.02.26	0.89484	0.91487	0.89346	0.91382	314736	0	10
2012.03.04	0.91440	0.92062	0.90705	0.91853	301748	0	10
2012.03.11	0.91933	0.93331	0.91393	0.91546	284464	0	10
2012.03.18	0.91534	0.91777	0.90667	0.90784	262291	0	10
2012.03.25	0.90796	0.91359	0.90084	0.90196	259664	0	5
2012.04.01	0.90101	0.92213	0.90014	0.91645	281596	0	5
2012.04.08	0.91674	0.92156	0.90908	0.91907	296919	0	5
