<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.28	1.23231	1.25296	1.22509	1.24816	214401	0	0
2020.07.05	1.24604	1.26693	1.24600	1.26200	229267	0	0
2020.07.12	1.26159	1.26658	1.24797	1.25671	223960	0	0
2020.07.19	1.25444	1.28029	1.25178	1.27953	239756	0	0
2020.07.26	1.27903	1.31699	1.27773	1.30822	266934	0	0
2020.08.02	1.30751	1.31853	1.29808	1.30538	251572	0	0
2020.08.09	1.30590	1.31423	1.30047	1.30903	220217	0	0
2020.08.16	1.30831	1.32667	1.30588	1.30895	249804	0	0
2020.08.23	1.30820	1.33563	1.30535	1.33512	252916	0	0
2020.08.30	1.33448	1.34820	1.31755	1.32763	273196	0	0
2020.09.06	1.32570	1.32674	1.27620	1.27966	256813	0	0
2020.09.13	1.27805	1.30074	1.27744	1.29221	253887	0	0
2020.09.20	1.29275	1.29660	1.26748	1.27419	282378	0	0
2020.09.27	1.27622	1.29784	1.27508	1.29366	297412	0	0
2020.10.04	1.29255	1.30487	1.28442	1.30487	232411	0	0
2020.10.11	1.30245	1.30823	1.28562	1.29073	231123	0	0
2020.10.18	1.28950	1.31764	1.28929	1.30437	227062	0	0
2020.10.25	1.30528	1.30794	1.28804	1.29502	262660	0	0
2020.11.01	1.29216	1.31771	1.28535	1.31475	467111	0	0
2020.11.08	1.31547	1.33138	1.31060	1.31982	644491	0	0
2020.11.15	1.31602	1.33121	1.31594	1.32896	468429	0	0
2020.11.22	1.32873	1.33978	1.32636	1.33083	432396	0	0
2020.11.29	1.33266	1.35397	1.32873	1.34344	454479	0	0
2020.12.06	1.34093	1.34777	1.31338	1.32296	469623	0	0
2020.12.13	1.33427	1.36245	1.32801	1.34976	452953	0	0
